20,"[1, 0, 3]","[1, 0, 3]"
21,"[1, 0, 3]","[1, 0, 3]"
22,"[1, 0, 3]","[1, 0, 3]"
23,"[1, 0, 3]","[1, 0, 3]"
24,"[1, 0, 3]","[1, 0, 3]"
25,"[1, 1, 3]","[1, 0, 3]"
26,"[1, 3, 3]","[1, 0, 2]"
27,"[1, 1, 2]","[1, 1, 2]"
28,"[1, 2, 2]","[1, 1, 2]"
29,"[1, 0, 2]","[1, 0, 2]"
30,"[1, 0, 0]","[1, 0, 0]"
31,"[1, 3, 3]","[1, 3, 3]"
32,"[1, 3, 12]","[1, 3, 3]"
33,"[1, 3, 5]","[1, 3, 3]"
34,"[1, 3, 12]","[1, 3, 3]"
35,"[1, 5, 10]","[1, 4, 3]"
36,"[1, 3, 12]","[1, 3, 3]"
37,"[1, 3, 10]","[1, 2, 3]"
38,"[1, 0, 0]","[1, 0, 0]"
39,"[1, 0, 0]","[1, 0, 0]"
40,"[1, 0, 0]","[1, 0, 0]"
41,"[1, 0, 0]","[1, 0, 0]"
